model_name,callsign,measure,order,aic
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(0, 0, 0)",2939.4659632714306
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(0, 0, 1)",2589.307358165111
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(0, 0, 2)",2412.681719539351
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(0, 1, 0)",2099.013828605183
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(0, 1, 1)",2096.2191207312817
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(0, 1, 2)",2076.2632249586572
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(0, 1, 3)",2068.735959661507
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(0, 2, 0)",2373.1858322152343
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(0, 2, 1)",2102.0046782336217
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(0, 2, 2)",2099.5359956383118
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(1, 0, 0)",2099.132011625148
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(1, 0, 1)",2098.6349056181407
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(1, 0, 2)",2082.9352886362103
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(1, 0, 3)",2076.5895113628253
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(1, 1, 0)",2098.2217238363774
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(1, 1, 1)",2066.8429139422424
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(1, 1, 2)",2065.0534691936755
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(1, 1, 3)",2067.051005427339
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(1, 2, 0)",2291.332950797118
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(2, 0, 0)",2099.624976603388
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(2, 0, 1)",2075.024541057328
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(2, 0, 2)",2073.1992520625445
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(2, 0, 3)",2075.198042493308
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(2, 1, 0)",2086.207416119716
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(2, 1, 1)",2065.239248226351
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(2, 1, 2)",2067.0519560583607
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(2, 1, 3)",2062.3817661534786
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(2, 2, 0)",2241.086374769603
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(2, 2, 1)",2089.7534237653845
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 0, 0)",2090.0209474939265
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 0, 1)",2073.379849661187
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 0, 2)",2075.1985107092746
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 0, 3)",2072.925457495697
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 1, 0)",2080.893104949523
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 1, 1)",2066.979594206328
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 1, 2)",2069.094710712756
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 1, 3)",2062.556029092679
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 2, 0)",2202.0730854730855
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 2, 1)",2084.7153077719267
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 2, 2)",2072.03312534664
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"(3, 2, 3)",2066.5047635575465
aberdeen_sd-tmin,"Aberdeen, SD",tmin,"(0, 0, 0)",2917.3295552565223
aberdeen_sd-tmin,"Aberdeen, SD",tmin,"(0, 0, 1)",2593.815481468274
aberdeen_sd-tmin,"Aberdeen, SD",tmin,"(0, 0, 2)",2425.1077814046344
aberdeen_sd-tmin,"Aberdeen, SD",tmin,"(0, 0, 3)",2340.1256830902776
aberdeen_sd-tmin,"Aberdeen, SD",tmin,"(0, 1, 0)",2164.7605745341857
aberdeen_sd-tmin,"Aberdeen, SD",tmin,"(0, 1, 1)",2157.021112116847
