model_name,callsign,measure,order,aic,p,d,q
aberdeen_sd-tavg,"Aberdeen, SD",tavg,"2, 1, 3",2062.3817661534786,2,1,3
aberdeen_sd-tmin,"Aberdeen, SD",tmin,"2, 1, 2",2114.3334297706733,2,1,2
aberdeen_sd-tmax,"Aberdeen, SD",tmax,"1, 1, 2",2273.93776166264,1,1,2
aberdeen_sd-prcp,"Aberdeen, SD",prcp,"3, 0, 3",2153.7638495314104,3,0,3
aberdeen_sd-snow,"Aberdeen, SD",snow,"2, 1, 1",2821.605101254094,2,1,1
aberdeen_sd-wdir,"Aberdeen, SD",wdir,"3, 1, 3",4431.152092159988,3,1,3
aberdeen_sd-wspd,"Aberdeen, SD",wspd,"1, 1, 1",2422.292562695322,1,1,1
aberdeen_sd-pres,"Aberdeen, SD",pres,"0, 1, 2",2380.173611651885,0,1,2
albany_ny-tavg,"Albany, NY",tavg,"2, 1, 1",1969.3416904808669,2,1,1
albany_ny-tmin,"Albany, NY",tmin,"2, 1, 1",2027.6496023864124,2,1,1
albany_ny-tmax,"Albany, NY",tmax,"3, 2, 2",2083.865551742437,3,2,2
albany_ny-prcp,"Albany, NY",prcp,"3, 0, 3",2464.789840622241,3,0,3
albany_ny-snow,"Albany, NY",snow,"3, 1, 1",2968.321570088917,3,1,1
albany_ny-wdir,"Albany, NY",wdir,"3, 0, 3",4433.823921998823,3,0,3
albany_ny-wspd,"Albany, NY",wspd,"1, 1, 1",2299.6181536183476,1,1,1
albany_ny-pres,"Albany, NY",pres,"3, 1, 2",2311.170951287726,3,1,2
albuquerque_nm-tavg,"Albuquerque, NM",tavg,"2, 1, 3",1619.7858525677148,2,1,3
albuquerque_nm-tmin,"Albuquerque, NM",tmin,"1, 1, 1",1753.9078108487242,1,1,1
albuquerque_nm-tmax,"Albuquerque, NM",tmax,"2, 1, 1",1863.0168467519766,2,1,1
albuquerque_nm-prcp,"Albuquerque, NM",prcp,"0, 0, 3",1337.2358843272295,0,0,3
albuquerque_nm-snow,"Albuquerque, NM",snow,"2, 1, 2",2143.2179670473815,2,1,2
albuquerque_nm-wdir,"Albuquerque, NM",wdir,"1, 1, 1",4290.662769205659,1,1,1
albuquerque_nm-wspd,"Albuquerque, NM",wspd,"1, 1, 1",2179.8762036688763,1,1,1
albuquerque_nm-pres,"Albuquerque, NM",pres,"1, 1, 2",2009.3055641512165,1,1,2
amarillo_tx-tavg,"Amarillo, TX",tavg,"1, 1, 2",1953.331278775389,1,1,2
amarillo_tx-tmin,"Amarillo, TX",tmin,"0, 1, 3",1943.0624804428317,0,1,3
amarillo_tx-tmax,"Amarillo, TX",tmax,"3, 1, 3",2254.6208302773252,3,1,3
amarillo_tx-prcp,"Amarillo, TX",prcp,"3, 1, 3",2081.491679678852,3,1,3
amarillo_tx-snow,"Amarillo, TX",snow,"3, 1, 3",2453.8461892991772,3,1,3
amarillo_tx-wdir,"Amarillo, TX",wdir,"3, 1, 3",4234.593805764591,3,1,3
amarillo_tx-wspd,"Amarillo, TX",wspd,"0, 1, 2",2420.559868835883,0,1,2
amarillo_tx-pres,"Amarillo, TX",pres,"2, 1, 2",2252.537543925963,2,1,2
anchorage_ak-tavg,"Anchorage, AK",tavg,"3, 1, 2",1589.7933032034261,3,1,2
anchorage_ak-tmin,"Anchorage, AK",tmin,"2, 1, 1",1773.8766178893363,2,1,1
anchorage_ak-tmax,"Anchorage, AK",tmax,"3, 1, 3",1808.1614094388647,3,1,3
anchorage_ak-prcp,"Anchorage, AK",prcp,"3, 1, 3",1892.875606732499,3,1,3
anchorage_ak-snow,"Anchorage, AK",snow,"2, 2, 3",3715.9452926315917,2,2,3
anchorage_ak-wdir,"Anchorage, AK",wdir,"3, 1, 3",4353.699354518084,3,1,3
anchorage_ak-wspd,"Anchorage, AK",wspd,"0, 1, 2",2134.3875232510136,0,1,2
anchorage_ak-pres,"Anchorage, AK",pres,"3, 1, 3",2375.408720086777,3,1,3
austin_tx-tavg,"Austin, TX",tavg,"3, 1, 1",1798.83451467379,3,1,1
austin_tx-tmin,"Austin, TX",tmin,"2, 1, 3",1933.0795767469228,2,1,3
austin_tx-tmax,"Austin, TX",tmax,"2, 1, 1",1962.0692257493392,2,1,1
austin_tx-prcp,"Austin, TX",prcp,"1, 1, 2",2522.902259614284,1,1,2
austin_tx-wdir,"Austin, TX",wdir,"0, 1, 2",4291.788947339546,0,1,2
austin_tx-wspd,"Austin, TX",wspd,"2, 1, 1",2150.307390348519,2,1,1
austin_tx-pres,"Austin, TX",pres,"1, 1, 2",1994.5385490110255,1,1,2
binghamton_ny-tavg,"Binghamton, NY",tavg,"3, 1, 1",1972.6497258033432,3,1,1
binghamton_ny-tmin,"Binghamton, NY",tmin,"0, 1, 3",2026.5242538132013,0,1,3
binghamton_ny-tmax,"Binghamton, NY",tmax,"0, 1, 3",2126.0917679907843,0,1,3
binghamton_ny-prcp,"Binghamton, NY",prcp,"2, 0, 2",2601.8915700875605,2,0,2
binghamton_ny-snow,"Binghamton, NY",snow,"3, 2, 2",3317.5091620709036,3,2,2
binghamton_ny-wdir,"Binghamton, NY",wdir,"3, 0, 2",4245.3559653824805,3,0,2
binghamton_ny-wspd,"Binghamton, NY",wspd,"0, 1, 2",2056.5368456327274,0,1,2
binghamton_ny-pres,"Binghamton, NY",pres,"3, 0, 2",2271.7102430572586,3,0,2
birmingham_al-tavg,"Birmingham, AL",tavg,"1, 1, 2",1803.9377225701878,1,1,2
birmingham_al-tmin,"Birmingham, AL",tmin,"2, 1, 3",1936.40826453125,2,1,3
birmingham_al-tmax,"Birmingham, AL",tmax,"0, 1, 2",1979.2806324388898,0,1,2
birmingham_al-prcp,"Birmingham, AL",prcp,"1, 0, 0",2930.7497974999114,1,0,0
birmingham_al-wdir,"Birmingham, AL",wdir,"3, 1, 3",4521.147234465266,3,1,3
birmingham_al-wspd,"Birmingham, AL",wspd,"0, 1, 2",2121.998736669544,0,1,2
birmingham_al-pres,"Birmingham, AL",pres,"3, 0, 3",1865.0540204172464,3,0,3
bismarck_nd-tavg,"Bismarck, ND",tavg,"2, 1, 3",2057.903045008675,2,1,3
bismarck_nd-tmin,"Bismarck, ND",tmin,"3, 1, 3",2070.843379653926,3,1,3
bismarck_nd-tmax,"Bismarck, ND",tmax,"1, 1, 1",2331.5058490524902,1,1,1
bismarck_nd-prcp,"Bismarck, ND",prcp,"3, 0, 2",1912.6407398655733,3,0,2
bismarck_nd-snow,"Bismarck, ND",snow,"3, 0, 2",2837.2815956625536,3,0,2
