callsign,"Aberdeen, SD","Albany, NY","Albuquerque, NM","Amarillo, TX","Anchorage, AK","Austin, TX","Binghamton, NY","Birmingham, AL","Bismarck, ND","Blacksburg, VA","Boise, ID","Boston, MA","Brownsville, TX","Buffalo, NY","Burlington, VT","Caribou, ME","Charleston, SC","Cheyenne, WY","Chicago, IL","Cincinnati, OH","Cleveland, OH","Columbia, SC","Corpus Christi, TX","Denver, CO","Des Moines, IA","Detroit, MI","Duluth, MN","Elko, NV","Eureka, CA","Fairbanks, AK","Flagstaff, AZ","Fort Worth, TX","Gaylord, MI","Glasgow, MT","Goodland, KS","Grand Forks, ND","Grand Junction, CO","Gray, ME","Great Falls, MT","Greenville, SC","Hastings, NE","Honolulu, HI","Houston, TX","Huntsville, AL","Indianapolis, IN","Jackson, MS","Jacksonville, FL","Juneau, AK","Kansas City, MO","Key West, FL","La Crosse, WI","Lake Charles, LA","Las Vegas, NV","Little Rock, AR","Los Angeles, CA","Lubbock, TX","Marquette, MI","Melbourne, FL","Memphis, TN","Miami, FL","Midland, TX","Missoula, MT","Mobile, AL","Mount Holly, NJ","Nashville, TN","New Orleans, LA","New York, NY","Norman, OK","North Platte, NE","Omaha, NE","Peachtree City, GA","Pendleton, OR","Phoenix, AZ","Pittsburgh, PA","Pocatello, ID","Portland, OR","Pueblo, CO","Raleigh, NC","Rapid City, SD","Reno, NV","Riverton, WY","Sacramento, CA","Salt Lake City, UT","San Diego, CA","Shreveport, LA","Sioux Falls, SD","Spokane, WA","Springfield, MO","St. Louis, MO","State College, PA","Tallahassee, FL","Tampa, FL","Topeka, KS","Tucson, AZ","Tulsa, OK","Wakefield, VA","Wichita, KS","Wilmington, NC"
"Aberdeen, SD",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albany, NY",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albuquerque, NM",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amarillo, TX",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anchorage, AK",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austin, TX",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Binghamton, NY",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birmingham, AL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bismarck, ND",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blacksburg, VA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
