id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,callsign
70272,Anchorage Air Force Base,US,AK,70272,PAED,61.25,-149.7833,65.0,America/Juneau,2006-01-01,2022-04-02,1947-01-14,2022-03-31,1949-01-01,2022-01-01,"Anchorage, AK"
70273,Anchorage Ted Stevens Airport,US,AK,70273,PANC,61.1667,-150.0333,44.0,America/Juneau,1973-01-01,2022-04-02,1952-04-01,2022-03-30,1951-01-01,2022-01-01,"Anchorage, AK"
PALH0,Anchorage / Turnagain Heights,US,AK,,PALH,61.18,-149.9719,22.0,America/Juneau,2002-01-01,2022-04-02,2002-01-01,2022-03-30,2002-01-01,2022-01-01,"Anchorage, AK"
70261,Fairbanks Airport,US,AK,70261,PAFA,64.8,-147.8667,132.0,America/Juneau,1946-01-01,2022-04-02,1929-12-01,2022-03-31,1929-01-01,2022-01-01,"Fairbanks, AK"
70265,Fairbanks Air Force Base,US,AK,70265,PAEI,64.65,-147.1,167.0,America/Juneau,2006-01-02,2022-04-02,1949-01-01,2022-03-31,1949-01-01,2021-01-01,"Fairbanks, AK"
PAFB0,Fairbanks / Hamilton Acres,US,AK,,PAFB,64.8376,-147.6145,140.0,America/Juneau,2006-01-03,2022-04-02,2012-03-10,2022-03-30,2018-01-01,2022-01-01,"Fairbanks, AK"
70381,Juneau International Airport,US,AK,70381,PAJN,58.35,-134.5667,6.0,America/Juneau,1973-01-01,2022-04-02,1936-09-01,2022-03-31,1936-01-01,2022-01-01,"Juneau, AK"
72565,Denver International Airport,US,CO,72565,KDEN,39.8667,-104.6667,1655.0,America/Denver,1994-07-18,2022-04-02,1994-07-19,2022-03-31,1995-01-01,2022-01-01,"Denver, CO"
KAPA0,Denver / Dove Valley,US,CO,,KAPA,39.5701,-104.8493,1794.0,America/Denver,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2022-01-01,"Denver, CO"
KBJC0,Denver / Broomfield / Countryside,US,CO,,KBJC,39.9088,-105.1172,1729.0,America/Denver,2006-01-01,2022-04-02,2017-06-15,2022-03-30,2020-01-01,2022-01-01,"Denver, CO"
KBKF0,Denver / Aurora / Side Creek,US,CO,,KBKF,39.7017,-104.7517,1726.0,America/Denver,1944-03-01,2022-04-02,1961-03-02,2022-03-30,1961-01-01,2021-01-01,"Denver, CO"
72476,Grand Junction Walker Field,US,CO,72476,KGJT,39.1333,-108.5333,1481.0,America/Denver,1973-01-01,2022-04-02,1900-01-01,2022-03-31,1900-01-01,2022-01-01,"Grand Junction, CO"
72464,Pueblo Memorial Airport,US,CO,72464,KPUB,38.2833,-104.5,1440.0,America/Denver,1942-10-01,2022-04-02,1942-10-01,2022-03-31,1942-01-01,2022-01-01,"Pueblo, CO"
72530,Chicago O’hare Airport,US,IL,72530,KORD,41.9833,-87.9167,204.0,America/Chicago,1946-10-01,2022-04-02,1946-10-09,2022-03-31,1946-01-01,2022-01-01,"Chicago, IL"
72534,Chicago Midway Airport,US,IL,72534,KMDW,41.7833,-87.75,189.0,America/Chicago,1973-01-01,2022-04-02,1928-02-29,2022-03-31,1928-01-01,2022-01-01,"Chicago, IL"
KDPA0,Chicago / Surrey Woods,US,IL,,KDPA,41.9069,-88.2482,231.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-31,2006-01-01,2021-01-01,"Chicago, IL"
KIGQ0,Chicago / Lynwood,US,IL,,KIGQ,41.5349,-87.5295,189.0,America/Chicago,2006-01-02,2022-04-02,2011-03-17,2022-03-31,2014-01-01,2022-01-01,"Chicago, IL"
KPWK0,Chicago / Wood Oaks Glen,US,IL,,KPWK,42.1143,-87.9015,197.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-31,2006-01-01,2021-01-01,"Chicago, IL"
KUGN0,Chicago / Bancroft Corners,US,IL,,KUGN,42.4222,-87.8679,222.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-31,2006-01-01,2021-01-01,"Chicago, IL"
72438,Indianapolis International  Airport,US,IN,72438,KIND,39.7167,-86.1167,243.0,America/Indiana/Indianapolis,1942-10-06,2022-04-02,1942-10-06,2022-03-31,1942-01-01,2022-01-01,"Indianapolis, IN"
KEYE0,Indianapolis / Clermont,US,IN,,KEYE,39.8308,-86.2944,251.0,America/Indiana/Indianapolis,2006-01-01,2022-04-02,2006-01-01,2022-03-30,2006-01-01,2022-01-01,"Indianapolis, IN"
KTYQ0,Indianapolis / Jolietville,US,IN,,KTYQ,40.0307,-86.2514,281.0,America/Indiana/Indianapolis,2014-01-01,2022-04-02,2014-01-01,2022-03-31,2014-01-01,2022-01-01,"Indianapolis, IN"
72546,Des Moines International,US,IA,72546,KDSM,41.5333,-93.6531,292.0,America/Chicago,1973-01-01,2022-04-02,1945-07-01,2022-03-31,1945-01-01,2022-01-01,"Des Moines, IA"
72465,Goodland Renner Field,US,KS,72465,KGLD,39.3667,-101.7,1114.0,America/Denver,1973-01-01,2022-04-02,1895-06-09,2022-03-31,1895-01-01,2022-01-01,"Goodland, KS"
72456,Topeka Billard Municipal Airport,US,KS,72456,KTOP,39.0667,-95.1333,269.0,America/Chicago,1973-01-01,2022-04-02,1946-08-01,2022-03-31,1946-01-01,2022-01-01,"Topeka, KS"
72450,Wichita Mid-Continent Airport,US,KS,72450,KICT,37.65,-97.1,406.0,America/Chicago,1973-01-01,2022-04-02,1953-12-01,2022-03-31,1951-01-01,2022-01-01,"Wichita, KS"
KAAO0,Wichita / Minneha,US,KS,,KAAO,37.7476,-97.2211,433.0,America/Chicago,2006-01-01,2022-04-02,2006-01-01,2022-03-31,2006-01-01,2022-01-01,"Wichita, KS"
72537,Detroit Metropolitan,US,MI,72537,KDTW,42.2333,-83.0,195.0,America/Detroit,1942-08-01,2022-04-02,1942-08-01,2022-03-31,1942-01-01,2022-01-01,"Detroit, MI"
KDET0,Detroit / Hamtramck,US,MI,,KDET,42.4092,-83.0099,191.0,America/Detroit,1973-01-01,2022-04-02,1973-01-01,2022-03-30,1981-01-01,2022-01-01,"Detroit, MI"
